Rank,Name,Neighborhood,Zoning Type,Plot Size,Building Size,Distance to Ocean,Distance to Bay,Max # of Floors,Min # of Floors,Plot Area (m²),Min Building Height (m),Max Building Height (m),Distance to Ocean (m),Distance to Bay (m),tokenId
42,DZ-141,District ZERO,Industrial,Giga,Lowrise,Medium,Far,9,7,21430,37,46,438,1388,62454321621739609801301895648229196874514166442729086892510155051984268244038
43,TG-17,Tranquility Gardens,Industrial,Giga,Lowrise,Far,Close,9,7,13483,36,45,3734,139,66558878427218683576743856752485437555749488385608299994924675384227418879660
44,SM-577,Space Mind,Mixed Use,Mega,Highrise,Far,Far,55,44,7169,222,277,830,742,80026062558783832176787920389838687804969983808412640515769944686326511607323
45,HH-878,Haven Heights,Industrial,Giga,Lowrise,Medium,Far,9,7,9363,36,45,383,673,63982255844834672117007040903215724669021594330654464605952186686324845293389
46,DZ-52,District ZERO,Industrial,Giga,Lowrise,Far,Medium,8,6,9097,32,40,1922,359,54527911723278135384223409775188468885262850920447262403440572914122707998848
47,DZ-45,District ZERO,Industrial,Giga,Lowrise,Far,Far,8,6,8800,33,41,958,772,90768080713240768043502282692372261301472311450420618253812406790007508813887
47,DZ-225,District ZERO,Industrial,Giga,Lowrise,Far,Far,8,6,10095,32,40,1006,1090,88094252241162098411899080741062849775246206351379885124695254462494127620121
49,DZ-46,District ZERO,Mixed Use,Mammoth,Midrise,Far,Far,21,17,7778,87,108,760,961,36905172461233156552792801766629902767129941093684489741717201023072145914004
50,HH-963,Haven Heights,Mixed Use,Mammoth,Midrise,Far,Medium,38,31,7914,155,193,782,551,64262490390952229288831959553413661466482337997624132888518126591035460143361
51,NS-903,North Star,Mixed Use,Macro,Highrise,Medium,Far,45,36,5190,181,226,462,790,21623473970371586701836656415400555676341247273669269376115052558459345308791
51,NS-931,North Star,Mixed Use,Macro,Highrise,Medium,Far,46,37,5323,188,234,453,766,114525986317164755810765674255022423066893542298672742503817714794751639495108
53,FL-39,Flashing Lights,Mixed Use,Mid,Highrise,Far,Close,58,46,4363,233,291,2004,210,98136896467604162110649180191638718377083020130591796095682255994261053320495
54,FL-63,Flashing Lights,Mixed Use,Mid,Highrise,Far,Medium,41,32,3866,164,205,2082,373,75443846991026986637536515834963280587960934465182094835775642916447967276105
54,FL-90,Flashing Lights,Mixed Use,Mid,Highrise,Far,Medium,52,42,4603,212,264,2536,302,16614130014228253834257032704108569175739939983828994113374021926572528493805
56,FL-56,Flashing Lights,Mixed Use,Mid,Highrise,Far,Far,48,38,4371,194,242,897,801,84462200595962318841629930136226802903415827511804236578302459275750151595079
56,FL-99,Flashing Lights,Mixed Use,Mid,Highrise,Far,Far,45,36,4081,181,226,889,1077,20009784369550478424202942692439364299624350115359346343157782048229342475025
56,FL-138,Flashing Lights,Mixed Use,Mid,Highrise,Far,Far,57,45,3800,228,285,1840,647,11551451494840081640334590999590559148461194603389174766991798987528679319316
59,FL-133,Flashing Lights,Mixed Use,Mammoth,Lowrise,Far,Medium,19,16,7393,80,99,2709,361,295464914057320436968184030209717114036929741554295355319049134340664579648
60,SM-600,Space Mind,Mixed Use,Mega,Midrise,Close,Far,23,18,6846,92,115,185,1445,58736626255143765782148587474044814605552329969904414832842484297196767820697
61,FL-161,Flashing Lights,Mixed Use,Mammoth,Lowrise,Far,Far,17,13,8021,69,86,616,1070,36206934966640372328543228797218849021552429813895936270639663742371617733230
62,NS-924,North Star,Mixed Use,Mid,Highrise,Medium,Far,46,37,3851,188,234,434,768,25328380458312896035505152056199536471842135315918563331616956749382826433078
63,NS-913,North Star,Mixed Use,Mid,Highrise,Far,Close,41,33,3684,168,209,1061,197,69057417571006321430308729231211756104430693099917045404095007163797674315584
64,FL-66,Flashing Lights,Mixed Use,Mini,Highrise,Medium,Far,50,40,2551,200,250,344,1335,107283994515795962147218672129957019611457465508336579324403502910090158375378
65,TG-2,Tranquility Gardens,Mixed Use,Mammoth,Lowrise,Far,Close,14,12,8031,60,74,2893,100,80843663537666876666603979055806332629705536851508123669544745088803927245819
66,FL-158,Flashing Lights,Mixed Use,Mini,Highrise,Far,Medium,49,39,2557,197,246,1788,502,76552612672522377851529446250090463651918695281342473571016342687641656312818
67,FL-47,Flashing Lights,Mixed Use,Mini,Highrise,Far,Far,49,39,3219,197,246,795,795,40724361069504139750005633125229784619798424766624748100925384788786941813056
68,DZ-31,District ZERO,Mixed Use,Mammoth,Lowrise,Far,Far,14,11,8364,58,72,633,989,61400103510305094838926354803383475734848349117845794710828979937942254206535
69,FL-14,Flashing Lights,Mixed Use,Micro,Highrise,Medium,Far,49,39,2398,197,246,438,931,33744998237494723256594840145492888180108103555857764365251062879075138760865
70,NS-782,North Star,Mixed Use,Mammoth,Lowrise,Far,Medium,9,7,7228,36,45,2210,363,114794746399295063775963399677946788158948450690508172838725212256645580310554
71,DZ-32,District ZERO,Mixed Use,Mini,Highrise,Medium,Far,51,40,3050,204,255,400,1133,15454996646223062603043336694923450780034673986572618304850808730237497221890
72,SM-503,Space Mind,Mixed Use,Mini,Highrise,Far,Close,41,32,3004,164,205,1736,179,28370076585915108350228686487279591165001294843846348401745244055545995088879
73,NS-925,North Star,Mixed Use,Mini,Highrise,Medium,Far,49,39,2659,197,246,339,865,48078277807167315835514316590685787844012517755541847159254068613105535724044
73,NS-942,North Star,Mixed Use,Mini,Highrise,Medium,Far,48,38,2535,194,242,349,947,87128291656883815881410163474920953138487163755901544288348630209610177857546
73,NS-943,North Star,Mixed Use,Mini,Highrise,Medium,Far,41,33,2535,168,209,312,981,73026525988065196731320108271905963039634178357006141849989701513749084850321
76,SM-485,Space Mind,Industrial,Mammoth,Lowrise,Far,Close,9,7,7815,39,48,1676,278,25640008983321885928285048939792531979352192730970198219045151498846292131043
77,DZ-40,District ZERO,Industrial,Mammoth,Lowrise,Far,Close,8,6,7266,32,40,2269,234,50480118930051213821103825551138999405740076204044709804945881085437788721582
78,TG-10,Tranquility Gardens,Industrial,Mammoth,Lowrise,Far,Close,7,6,7202,30,37,2787,298,2860471250460895018784787183824921361360762044060616567718153733851642319909
79,DZ-140,District ZERO,Mixed Use,Mini,Highrise,Far,Medium,46,37,2915,186,232,1319,474,62657796008116744933995947032157221025800939351216365505566289214158739408710
80,TG-113,Tranquility Gardens,Mixed Use,Mini,Highrise,Far,Medium,50,40,3094,200,250,4484,463,24770786430394087546478705153281647772423493336659029368191062121984423459495
81,DZ-101,District ZERO,Mixed Use,Mini,Highrise,Far,Far,41,33,3427,168,209,849,1022,17629863219464244533594528180245630936954940012826201774491757924671017783795
81,DZ-115,District ZERO,Mixed Use,Mini,Highrise,Far,Far,57,45,2413,228,285,1319,670,54069480167739151523640179659783380439517219663134528474996424423689963743053
83,SM-596,Space Mind,Industrial,Mammoth,Lowrise,Far,Medium,3,3,7499,15,18,1035,410,95796669280866326955415105633200565727581881999598918623779342405391664080186
84,DZ-19,District ZERO,Industrial,Mammoth,Lowrise,Far,Medium,3,3,7443,15,18,1312,385,107938281288084141720751959761245152048731067249974845806725694441322127467052
84,DZ-413,District ZERO,Industrial,Mammoth,Lowrise,Far,Medium,8,6,7323,32,40,1029,582,5703001403204405322550681814735803485959543330327981022620736756446605425432
86,NS-896,North Star,Industrial,Mammoth,Lowrise,Far,Close,8,7,7929,35,43,1184,184,79638622365708742052878802323698149541090257927381398459649680227829506437592
87,NS-759,North Star,Mixed Use,Mini,Highrise,Far,Medium,45,36,3020,181,226,1732,537,52057702767881862095886433543011901119895089544869698556693914265730747185147
88,SM-546,Space Mind,Industrial,Mammoth,Lowrise,Far,Far,3,3,7401,15,18,955,719,25896701659671960014594684473461968446083793569851453837164994345741388959556
88,SM-576,Space Mind,Industrial,Mammoth,Lowrise,Far,Far,9,7,7355,39,48,876,686,77283329926467677459643120034724040727056014070723802572710751116845655241374
90,DZ-30,District ZERO,Industrial,Mammoth,Lowrise,Far,Far,8,6,8113,32,40,697,938,110276457403979530787295430324647685129112491466794417831145704628871841633319
90,DZ-143,District ZERO,Industrial,Mammoth,Lowrise,Far,Far,8,6,8189,32,40,717,1066,78379882001250135745339252342748964386550422718852095072387016844815932018031
90,DZ-155,District ZERO,Industrial,Mammoth,Lowrise,Far,Far,8,6,7960,32,40,1055,778,33576780676628400103193968341061394506523033349972132670085224985013439593913
90,DZ-234,District ZERO,Industrial,Mammoth,Lowrise,Far,Far,8,6,7215,32,40,1398,809,50245075447616251244114902216406471191581809455920405578269099724645624526764
94,NS-737,North Star,Industrial,Mammoth,Lowrise,Far,Medium,9,7,7801,36,45,1442,536,71893487941997475568062776354701929197866818208912159091354934840081415038656
95,NS-709,North Star,Industrial,Mammoth,Lowrise,Far,Far,14,11,7303,59,73,1769,654,103185327133401970596607512200165761555548240229508244810927987407184922993091
95,NS-907,North Star,Industrial,Mammoth,Lowrise,Far,Far,10,8,7372,40,50,615,635,1995161716779394994886230047800171486707567400782296086686023141696340291942
97,NS-889,North Star,Mixed Use,Micro,Highrise,Far,Far,44,35,2382,178,222,602,674,98623956707601376845005904847401769370736442781827009794136629111513553626729
98,NX-23,Nexus,Industrial,Mega,Lowrise,Medium,Far,4,3,6950,16,20,364,1261,103249628830289674866083469851342440187681055228059234215922373956484203650342
99,FL-21,Flashing Lights,Residential,Micro,Highrise,Far,Close,48,39,1594,195,243,2456,129,17525537062802314862525508358795366781929822026035292297170791579348078985377
100,FL-259,Flashing Lights,Mixed Use,Mega,Midrise,Far,Close,22,18,6059,91,113,3000,221,80370341034565763732539422501701395266841257620416315168418560066874818938312
101,NX-2,Nexus,Commercial,Macro,Lowrise,Close,Far,4,3,5894,16,20,286,1094,91464799651892743696629005179876235486148523308458042247238048000406588403551
102,FL-86,Flashing Lights,Mixed Use,Mega,Midrise,Far,Far,25,20,6233,100,125,993,973,80894699298814927138279937008565051093448180871241124095477265573828445931842
103,NS-836,North Star,Mixed Use,Mega,Lowrise,Close,Far,4,4,6944,20,24,291,1029,16440757478296835838048775550023593565243528572139860810109230657641964710186
104,SM-281,Space Mind,Mixed Use,Mega,Midrise,Far,Close,24,19,6792,98,122,1522,185,36196672023816518330910804187870473508072941888534246402365753049790484995822
105,NS-923,North Star,Mixed Use,Mega,Midrise,Medium,Far,39,31,6571,157,196,531,671,32507061584609350510636085002831737016127335767488398656702249461857166733369
106,NS-833,North Star,Mixed Use,Mega,Midrise,Far,Close,30,24,7032,124,154,1491,219,141791573911071282283835544205173121140259494187759528123783941617059596305
106,NS-877,North Star,Mixed Use,Mega,Midrise,Far,Close,31,25,6375,125,156,1963,238,109229233079692701953403183089132817053671632257890393739775118357781709063865
106,NS-900,North Star,Mixed Use,Mega,Midrise,Far,Close,22,17,6365,89,111,1057,240,98968834871179704766550782047489672076739741868749965702369016776752092367052
109,SM-571,Space Mind,Industrial,Mega,Lowrise,Close,Far,9,7,6400,36,45,288,1373,54664019343771004903906334846944432982304933400504013159664252872737522518054
110,NS-788,North Star,Mixed Use,Mega,Midrise,Far,Medium,29,23,6068,119,148,1478,374,73278809086670951911367794443693924051334624834494072434807708952323784137884
111,NX-3,Nexus,Commercial,Mid,Lowrise,Close,Far,6,4,4301,24,30,292,1144,96775131074504557090424637949202995836507974551298749214331775012597178229643
112,FL-46,Flashing Lights,Mixed Use,Mega,Lowrise,Far,Medium,12,9,6612,48,60,1351,360,80693908735529478916850105153311653856877812868260215450312528879241420306555
113,NX-11,Nexus,Commercial,Micro,Lowrise,Close,Far,4,3,1482,18,22,294,1063,112539507792779539976670034256151846582082949815447350638353024960248145700811
113,NX-12,Nexus,Commercial,Micro,Lowrise,Close,Far,4,4,1482,20,24,267,1090,14839511248704825152646006178423915488472616476185847739845873258995550834588
115,FL-9,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,20,16,4976,82,102,923,468,60635047902312111758960756824469658734874492855449396971350180984992484078720
115,FL-10,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,39,32,5954,160,199,917,515,104530731821123453043742784159689704313553622870203231042584729568213582744818
115,FL-45,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,39,32,5202,160,199,1140,457,63273007827152202499506907615816859678377734142708429541224106217630849298970
115,FL-92,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,22,17,5040,89,111,2246,352,66864673554738234607616890369895063986160865794571585970957915849292257941719
115,FL-135,Flashing Lights,Mixed Use,Macro,Midrise,Far,Medium,30,24,4899,124,154,2285,576,63229995389268945314843965326879822176480294593843427943542521051797869765351
120,FL-166,Flashing Lights,Mixed Use,Macro,Midrise,Far,Far,27,21,5395,108,135,626,1023,105957902609903539755209737791235306653547267181417461425215044535350412039170
121,FL-3,Flashing Lights,Industrial,Mega,Lowrise,Far,Close,15,12,6894,62,77,1238,116,60839480548701714384271467474499599723750783138303671486658959598081769632309
122,NX-17,Nexus,Residential,Micro,Lowrise,Close,Far,4,3,1519,17,21,296,1070,31235809877711760735290568685764354088515168169077255856660465129971159487634
122,NX-18,Nexus,Residential,Micro,Lowrise,Close,Far,7,6,1649,30,37,268,1099,93671335379599337213843779014469681045698542869364944213641382659424791772887
124,NX-13,Nexus,Residential,Nano,Lowrise,Close,Far,4,3,999,16,20,242,1115,80330469080731677404045610127373916174776847740468062704621444007114809980280
125,FL-62,Flashing Lights,Industrial,Mega,Lowrise,Far,Medium,12,10,6348,52,64,2138,319,62077672358059122856213348399537331953484828625223796793310704978690795676579
126,FL-126,Flashing Lights,Industrial,Mega,Lowrise,Far,Far,12,9,6193,48,60,1352,761,37550792854446495416111312327394630644836682540038828205402807566082412740167
127,NX-4,Nexus,Residential,Micro,Midrise,Medium,Far,24,19,1779,96,120,370,1050,31173184118916722714868124891847387944927541026558962695977204833605132308100
127,NX-5,Nexus,Residential,Micro,Midrise,Medium,Far,22,18,2043,91,113,336,1082,25996305149720955126117719920612243217962603254976590443410394170918457186113
129,NS-916,North Star,Mixed Use,Macro,Midrise,Medium,Far,24,19,5093,96,120,418,797,92367605554387594179496442450690265354022888742590794300291830111676346706169
130,DZ-643,District ZERO,Industrial,Mega,Lowrise,Medium,Medium,5,4,6153,21,26,342,342,94679867769160027717693879217676053625101165559124934984296174948827667841991
131,NS-866,North Star,Mixed Use,Macro,Midrise,Far,Close,27,22,5453,111,138,2222,229,111457594659976956478081502172652899276227262107632445472829995973278994418164
131,NS-893,North Star,Mixed Use,Macro,Midrise,Far,Close,39,32,5757,160,199,1966,146,52333088569038330721214543544112645133280378248909052157895595630424244507680
133,DZ-57,District ZERO,Industrial,Mega,Lowrise,Medium,Far,8,7,6033,35,43,451,1275,65983888585773853643817425816565263724883908405759972722543710489499145537025
133,DZ-169,District ZERO,Industrial,Mega,Lowrise,Medium,Far,8,6,6777,32,40,363,1429,40036952493460542516542078893714852751442520621426515639796903756478069107538
133,DZ-180,District ZERO,Industrial,Mega,Lowrise,Medium,Far,8,6,6316,32,40,366,1440,70923887929983877937508992313629074416839504330803605058538985264989195326912
133,DZ-265,District ZERO,Industrial,Mega,Lowrise,Medium,Far,8,6,6556,32,40,541,1436,81430728541040681906781676324896302987787198205620292549848865396418067275537
133,DZ-385,District ZERO,Industrial,Mega,Lowrise,Medium,Far,3,3,6167,15,18,445,1134,22236657993853447146280050946661157645905851078315757887246689103728315527137
138,SM-161,Space Mind,Industrial,Mega,Lowrise,Far,Close,9,7,6353,38,47,2224,131,76653194420229438983629446331262617430681598175774472270523248761213011476591
139,DZ-100,District ZERO,Mixed Use,Macro,Midrise,Far,Far,21,17,5198,85,106,937,962,1012668759622042414256830631270345729782995688672389482025342463456517708768
140,NS-844,North Star,Mixed Use,Macro,Midrise,Far,Medium,23,18,4900,94,117,1801,311,105443888045134356002625548010214966321174697382787015184571103333708840964375
140,NS-868,North Star,Mixed Use,Macro,Midrise,Far,Medium,37,30,5129,150,187,1006,393,39807441925862629342483442605942160365866619510201287219290223279427138456901
140,NS-873,North Star,Mixed Use,Macro,Midrise,Far,Medium,22,18,4914,91,113,752,571,84477369588627733711543875465416113435108680595518300647322186471410769842140
140,NS-897,North Star,Mixed Use,Macro,Midrise,Far,Medium,30,24,5014,124,154,906,366,89501952501426702436174181365846132854658761469641481064541957989910275820115
140,NS-929,North Star,Mixed Use,Macro,Midrise,Far,Medium,24,19,4985,99,123,841,388,25268447271527468865547370022775319505506624725617322801869509627989307471925
145,HH-942,Haven Heights,Mixed Use,Macro,Midrise,Far,Medium,20,16,5403,81,101,846,440,111782134087385799826434654788999886657975890131923516488799633015980075915969
146,NS-937,North Star,Industrial,Mega,Lowrise,Medium,Far,14,11,6036,58,72,541,708,78629270534096496857045066427816200039074010927029666233822008975078327435750
147,NS-761,North Star,Mixed Use,Macro,Midrise,Far,Far,25,20,5293,101,126,940,705,25545997664609713115938774190234262587666955717556904046279699088928755154103
148,DZ-79,District ZERO,Industrial,Mega,Lowrise,Far,Medium,3,3,6661,15,18,1554,565,105147587082783774562791036829304871184060930505621559460949848503847049375271
148,DZ-256,District ZERO,Industrial,Mega,Lowrise,Far,Medium,3,3,6953,15,18,1738,577,81390677451756458440529845272152447483579601038593073541829799770945023100247
150,NS-781,North Star,Industrial,Mega,Lowrise,Far,Close,9,7,6398,37,46,2308,296,26673557370235160147175236257051841897718697136673583862276473083799374077111
150,NS-872,North Star,Industrial,Mega,Lowrise,Far,Close,8,7,6808,36,44,1166,290,37958130283538546545295692668517483206647617673572408505209132305574086835627
152,TG-520,Tranquility Gardens,Industrial,Mega,Lowrise,Far,Medium,8,7,6184,35,43,2635,550,58886878248996253929433739757511809603606766661784415316191747920459644046832
153,DZ-65,District ZERO,Industrial,Mega,Lowrise,Far,Far,8,6,7035,32,40,1166,651,50116656664260120288935924603746769104559668335151359745520795946164901466046
153,DZ-219,District ZERO,Industrial,Mega,Lowrise,Far,Far,10,8,6709,43,53,816,1210,72922750153006124347614199965595817048562543891915321530679188990793447254538
153,DZ-254,District ZERO,Industrial,Mega,Lowrise,Far,Far,8,6,6644,32,40,1447,797,88871653053082802768321529219537943295024302360291585757718355071606903779173
153,DZ-274,District ZERO,Industrial,Mega,Lowrise,Far,Far,8,6,6727,32,40,857,1121,96451054493363467360404850754451086134628331984838769218586532120091339995917
157,FL-132,Flashing Lights,Residential,Micro,Midrise,Close,Far,26,21,2010,105,131,300,1411,62845271212760997156511080471738309854100638336447671367408415158910217817374
157,FL-174,Flashing Lights,Residential,Micro,Midrise,Close,Far,21,17,1464,86,107,295,1288,88058930360207100193188220377741397830676743415492699152419532998466394523216
159,SM-608,Space Mind,Commercial,Macro,Lowrise,Close,Far,4,3,5188,19,23,118,1785,53827959250831083907285321873476175240503268262142565032094793475868942016032
160,SM-162,Space Mind,Commercial,Mega,Lowrise,Far,Close,4,3,6352,17,21,2133,138,23724176955955006889754651091857912581089039597867591307499702503498191131581
161,TG-4,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Close,5,4,6292,21,26,2796,205,113709011531621223816152409886556458820097243435516799001559372525580495982645
161,TG-648,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Close,4,3,7063,17,21,1896,124,101612012500651398732576335068832907494695194507685892373941405562445862797806
163,NS-795,North Star,Commercial,Macro,Lowrise,Close,Far,4,3,5494,16,20,292,1099,34491454164492968711487280801425204992517152051379210142343469757800030878529
164,DZ-126,District ZERO,Commercial,Mega,Lowrise,Far,Medium,4,3,7006,18,22,1580,334,40026073547727174298492532445622404801957872018704975171240547032554553213205
165,FL-144,Flashing Lights,Mixed Use,Mid,Midrise,Medium,Far,32,25,3680,128,160,431,1278,53618491462248242792768630289919972024624967539984484512043291674299359419530
166,NS-899,North Star,Commercial,Mega,Lowrise,Far,Close,6,5,7049,26,32,2227,110,17972529208201664621037948363782189019029940465028089354414728735763964421678
167,TG-51,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Medium,6,5,6727,28,34,2888,400,13884074313009880896300547839345931490855518331323751984916335838147595994670
167,TG-68,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Medium,4,3,6931,19,23,3200,404,101646702876955055382072651058264285687135298381484144685645849943851653445035
167,TG-569,Tranquility Gardens,Commercial,Mega,Lowrise,Far,Medium,4,3,6889,16,20,2324,404,33587491144254648714060602986538442642217031126229910023539204770754368106588
170,HH-231,Haven Heights,Commercial,Mega,Lowrise,Far,Close,4,3,6666,16,20,2176,114,110375139064335635650686043029313326093878441347066798439689716418612743904312
171,SM-177,Space Mind,Commercial,Mega,Lowrise,Far,Far,4,3,6433,17,21,688,1303,33527171532963915019314719990600613697853865403423822142356271412721826460233
171,SM-226,Space Mind,Commercial,Mega,Lowrise,Far,Far,8,6,6425,32,40,793,1133,32742241841542398828164142664673358615140176246077729046375484119488076453650
171,SM-578,Space Mind,Commercial,Mega,Lowrise,Far,Far,5,4,6395,22,27,751,838,62738245348423217886827852019414575079313318753733748368292820323211619067321
171,SM-591,Space Mind,Commercial,Mega,Lowrise,Far,Far,9,7,7026,39,48,625,889,78894429455688063424308721055017515505797748046730620492022323630876795781143
175,FL-29,Flashing Lights,Mixed Use,Mid,Midrise,Far,Close,27,21,4338,109,136,2005,132,62526654667126287711154522803093457030314044377052487440455214624707727204185
176,NX-19,Nexus,Mixed Use,Mini,Lowrise,Medium,Far,18,14,2758,73,91,301,1124,109246812131928990259012382405347988443852932075135507668180947834781702390576
